Symbol,Name
FKTZX,"Franklin Kentucky Tax Free Income Fund Advisor Class"
FKUSX,"Franklin U.S. Government Securities Fund Class A1"
FKUTX,"Franklin Utilities Fund Class A1"
FKYCX,"Nuveen Kentucky Municipal Bond Fund Class C2"
FKYRX,"Nuveen Kentucky Municipal Bond Fund Class I"
FKYTX,"Nuveen Kentucky Municipal Bond Fund Class A"
FLAAX,"Nuveen All-American Municipal Bond Fund Class A"
FLACX,"Fidelity Advisor® Stock Selector All Cap Fund Class C"
FLADX,"Franklin LifeSmart™ 2040 Retirement Target Fund Class A"
FLAGX,"Meeder Aggressive Allocation Fund Retail Class"
FLAIX,"Franklin Louisiana Tax Free Income Fund Class C"
FLAPX,"Fidelity® Flex Mid Cap Index Fund"
FLAQX,"Franklin Louisiana Tax Free Income Fund Class R6"
FLARX,"Pioneer Floating Rate Fund Class A"
FLATX,"Fidelity® Latin America Fund"
FLAUX,"Strategic Advisers® Core Multi-Manager Fund"
FLBAX,N/A
FLBDX,"Meeder Total Return Bond Fund Retail Class"
FLBIX,N/A
FLCCX,"Fidelity Advisor® Large Cap Fund Class C"
FLCDX,N/A
FLCEX,"Fidelity® Large Cap Core Enhanced Index Fund"
FLCGX,"Meeder Quantex Fund Retail Class"
FLCHX,N/A
FLCKX,"Fidelity® Leveraged Company Stock Fund Class K"
FLCLX,"Fidelity® Flex Large Cap Growth Fund"
FLCMX,N/A
FLCNX,"Fidelity® Contrafund® K6"
FLCOX,"Fidelity® Large Cap Value Index Fund"
FLCPX,"Fidelity® SAI U.S. Large Cap Index Fund"
FLCSX,"Fidelity® Large Cap Stock Fund"
FLDAX,"Franklin Low Duration Total Return Fund Class A"
FLDCX,"Franklin Low Duration Total Return Fund Class C"
FLDFX,"Meeder Balanced Fund Retail Class"
FLDGX,"Meeder Dynamic Allocation Fund Retail Class"
FLDKX,"Delaware Limited Duration Bond Fund Class A"
FLDLX,"Delaware Limited Duration Bond Fund Institutional Class"
FLDMX,"Delaware Limited Duration Bond Fund Class R6"
FLDOX,"Meeder Moderate Allocation Fund Retail Class"
FLDZX,"Franklin Low Duration Total Return Fund Advisor Class"
FLERX,"Franklin LifeSmart™ 2030 Retirement Target Fund Class R6"
FLFAX,"Fidelity Advisor® Latin America Fund Class A"
FLFCX,"Fidelity Advisor® Latin America Fund Class C"
FLFGX,"Meeder Global Allocation Fund Retail Class"
FLFIX,"Fidelity Advisor® Latin America Fund Class I"
FLFTX,"Fidelity Advisor® Latin America Fund Class M"
FLGEX,"Fidelity® Large Cap Growth Enhanced Index Fund"
FLGIX,"Franklin Global Listed Infrastructure Fund Class A"
FLGZX,"Franklin Global Listed Infrastructure Fund Advisor Class"
FLICX,"DWS Communications Fund - Class Inst"
FLIFX,"Fidelity Freedom® Index 2015 Fund Investor Class"
FLIIX,"First State Global Listed Infrastructure Fund Class I"
FLILX,"Strategic Advisers® Emerging Markets Fund of Funds"
FLKSX,"Fidelity® Low-Priced Stock K6 Fund"
FLMAX,"Meeder Muirfield Fund Adviser Class"
FLMCX,"Nuveen Michigan Municipal Bond Fund Class C2"
FLMFX,"Meeder Muirfield Fund Retail Class"
FLMIX,"Meeder Muirfield Fund Institutional Class"
FLMLX,N/A
FLMTX,"Franklin LifeSmart™ Retirement Income Fund Class R6"
FLMVX,"JPMorgan Mid Cap Value Fund Class L"
FLNCX,"Nuveen North Carolina Municipal Bond Fund Class A"
FLOAX,"Power Floating Rate Index Fund Class A"
FLOCX,"Power Floating Rate Index Fund Class C"
FLOLX,"Franklin LifeSmart™ 2040 Retirement Target Fund Class C"
FLPKX,"Fidelity® Low-Priced Stock Fund Class K"
FLPSX,"Fidelity® Low-Priced Stock Fund"
FLRAX,"Nuveen Large Cap Select Fund Class A"
FLRCX,"Pioneer Floating Rate Fund Class C"
FLRDX,"Franklin LifeSmart™ Retirement Income Fund Advisor Class"
FLREX,"Franklin LifeSmart™ 2040 Retirement Target Fund Class R6"
FLRFX,"Franklin LifeSmart™ 2025 Retirement Target Fund Advisor Class"
FLRGX,"Franklin LifeSmart™ 2035 Retirement Target Fund Class R"
FLRHX,"Franklin LifeSmart™ 2035 Retirement Target Fund Advisor Class"
FLRIX,"Franklin LifeSmart™ 2045 Retirement Target Fund Class C"
FLRJX,"Franklin LifeSmart™ 2045 Retirement Target Fund Class R"
FLRLX,"Franklin LifeSmart™ 2045 Retirement Target Fund Advisor Class"
FLRMX,"Franklin LifeSmart™ 2020 Retirement Target Fund Class A"
FLROX,"Franklin LifeSmart™ 2020 Retirement Target Fund Advisor Class"
FLRQX,"Franklin LifeSmart™ 2020 Retirement Target Fund Class C"
FLRRX,"Franklin Low Duration Total Return Fund Class R6"
FLRSX,"Franklin LifeSmart™ 2030 Retirement Target Fund Class A"
FLRTX,"Franklin LifeSmart™ 2030 Retirement Target Fund Class C"
FLRUX,"Meeder Conservative Allocation Fund Retail Class"
FLRVX,"Franklin LifeSmart™ 2020 Retirement Target Fund Class R"
FLRWX,"Franklin LifeSmart™ 2030 Retirement Target Fund Class R"
FLRYX,"Nuveen Large Cap Select Fund Class I"
FLRZX,"Franklin LifeSmart™ 2030 Retirement Target Fund Advisor Class"
FLSAX,"Fidelity Advisor® Leveraged Company Stock Fund Class A"
FLSBX,"Franklin LifeSmart™ 2055 Retirement Target Fund Class R"
FLSCX,"Fidelity Advisor® Leveraged Company Stock Fund Class C"
FLSFX,N/A
FLSGX,"Franklin LifeSmart™ 2040 Retirement Target Fund Class R"
FLSHX,"Franklin LifeSmart™ 2040 Retirement Target Fund Advisor Class"
FLSIX,N/A
FLSJX,"Franklin LifeSmart™ 2050 Retirement Target Fund Class A"
FLSKX,"Franklin LifeSmart™ 2050 Retirement Target Fund Class C"
FLSLX,N/A
FLSNX,"Franklin LifeSmart™ 2050 Retirement Target Fund Class R"
FLSOX,"Franklin LifeSmart™ 2050 Retirement Target Fund Advisor Class"
FLSPX,"Meeder Spectrum Fund Retail Class"
FLSQX,"Franklin Pelagos Commodities Strategy Fund Class A"
FLSRX,N/A
FLSTX,"Fidelity Advisor® Leveraged Company Stock Fund Class M"
FLSVX,"Franklin Pelagos Commodities Strategy Fund Class C"
FLSWX,"Franklin Pelagos Commodities Strategy Fund Class R"
FLSZX,"Franklin LifeSmart™ 2055 Retirement Target Fund Class R6"
FLTCX,"Nuveen Limited Term Municipal Bond Fund Class C2"
FLTDX,"Nuveen Limited Term Municipal Bond Fund Class A"
FLTEX,"American Funds Limited Term Tax-Exempt Bond Fund® Class F-3"
FLTFX,"Franklin LifeSmart™ 2055 Retirement Target Fund Class A"
FLTIX,"Nuveen Short-Term Bond Fund Class I"
FLTKX,"Franklin LifeSmart™ 2055 Retirement Target Fund Advisor Class"
FLTMX,"Fidelity® Intermediate Municipal Income Fund"
FLTNX,"Franklin LifeSmart™ 2055 Retirement Target Fund Class C"
FLTRX,"Nuveen Limited Term Municipal Bond Fund Class I"
FLTZX,"Franklin Louisiana Tax Free Income Fund Advisor Class"
FLUAX,"Fidelity Advisor® Stock Selector Large Cap Value Fund Class A"
FLUEX,"Fidelity Advisor® Stock Selector Large Cap Value Fund Class C"
FLUIX,"Fidelity Advisor® Stock Selector Large Cap Value Fund Class I"
FLUTX,"Fidelity Advisor® Stock Selector Large Cap Value Fund Class M"
FLVCX,"Fidelity® Leveraged Company Stock Fund"
FLVEX,"Fidelity® Large Cap Value Enhanced Index Fund"
FLVIX,"Fidelity Advisor® Leveraged Company Stock Fund I Class"
FLXCX,"Fidelity® Flex Core Bond Fund"
FLXSX,"Fidelity® Flex Small Cap Index Fund"
FLYCX,"Nuveen Large Cap Select Fund Class C"
FLYRX,"Pioneer Floating Rate Fund Class Y"
FMAAX,"Federated Absolute Return Fund Class A Shares"
FMABX,"AIG Multi-Asset Allocation Fund Class B"
FMACX,"American Funds AMCAP Fund® Class F-3"
FMAGX,"Fidelity® Magellan® Fund"
FMAHX,"Franklin Massachusetts Tax-Free Income Fund Advisor Class"
FMAIX,"Franklin Massachusetts Tax-Free Income Fund Class C"
FMALX,N/A
FMAMX,"Fidelity Advisor® Stock Selector All Cap Fund Class A"
FMATX,"AIG Multi-Asset Allocation Fund Class C"
FMBBX,"Federated Absolute Return Fund Class B Shares"
FMBPX,"Federated Mortgage Strategy Portfolio"
FMBRX,"Franklin Mutual Beacon Fund Class R6"
FMCAX,"Fidelity Advisor® Stock Selector Mid Cap Fund Class M"
FMCCX,"Fidelity Advisor® Stock Selector Mid Cap Fund I Class"
FMCDX,"Fidelity Advisor® Stock Selector Mid Cap Fund Class A"
FMCEX,"Fidelity Advisor® Stock Selector Mid Cap Fund Class C"
FMCFX,"Fidelity® Municipal Income 2019 Fund"
FMCKX,"Fidelity Advisor® Emerging Markets Fund Class C"
FMCLX,"Federated Mid-Cap Index Fund Class R6 Shares"
FMCRX,"Federated Mid-Cap Index Fund Institutional Shares"
FMCSX,"Fidelity® Mid-Cap Stock Fund"
FMCVX,"Franklin MicroCap Value Fund Class R6"
FMDCX,"Federated Mid-Cap Index Fund Service Shares"
FMDIX,"Franklin Maryland Tax Free Income Fund Class C"
FMDQX,"Franklin Maryland Tax Free Income Fund Class R6"
FMDRX,"Franklin Mutual Global Discovery Fund Class R6"
FMDTX,"Franklin Maryland Tax Free Income Fund Class A1"
FMDZX,"Franklin Maryland Tax Free Income Fund Advisor Class"
FMEAX,"Fidelity Advisor® Emerging Europe, Middle East, Africa (EMEA) Fund Class A"
FMECX,"Nuveen Mid Cap Growth Opportunities Fund Class C"
FMEFX,"Nuveen Mid Cap Growth Opportunities Fund Class R6"
FMEIX,"Fidelity® Mid Cap Enhanced Index Fund"
FMELX,"Strategic Advisers® Growth Multi-Manager Fund"
FMEQX,N/A
FMEUX,"Franklin Mutual European Fund Class R6"
FMEYX,"Nuveen Mid Cap Growth Opportunities Fund Class R3"
FMFAX,"Fidelity Advisor® Materials Fund Class A"
FMFCX,"Fidelity Advisor® Materials Fund Class C"
FMFEX,"Fidelity Advisor® Materials Fund Class I"
FMFIX,"RBB Free Market Fixed Income Fund Institutional Class"
FMFMX,"Fidelity Advisor® Series Equity Growth Fund"
FMFTX,"Fidelity Advisor® Materials Fund Class M"
FMFVX,"Franklin Mutual Financial Services Fund Class R6"
FMGAX,"Fidelity Advisor® Mortgage Securities Fund Class A"
FMGEX,"Frontier MFG Global Equity Fund Institutional Class"
FMGGX,"Franklin Small-Mid Cap Growth Fund Class R6"
FMGIX,"Frontier MFG Core Infrastructure Fund Institutional Class"
FMGKX,"Fidelity® Magellan® Fund Class K"
FMGPX,"Frontier MFG Global Plus Fund Institutional Class"
FMHTX,"Fidelity® Michigan Municipal Income Fund"
FMIAX,"Franklin Mutual International Fund Class A"
FMIEX,"Wasatch Global Value Fund™ Investor Class Shares"
FMIHX,"FMI Large Cap Fund"
FMIIX,"Federated Absolute Return Fund Class Institutional Shares"
FMIJX,"FMI International Fund"
FMILX,"Fidelity® New Millennium Fund®"
FMIMX,"FMI Common Stock Fund"
FMINX,"Franklin Minnesota Tax-Free Income Fund Class A1"
FMIQX,"FMI Large Cap Fund Institutional Class"
FMISX,"Franklin Massachusetts Tax-Free Income Fund Class A1"
FMITX,"Nuveen Michigan Municipal Bond Fund Class A"
FMIUX,"FMI Common Stock Fund Institutional Class"
FMIYX,"FMI International Fund Institutional Class"
FMIZX,"Franklin Mutual International Fund Class Z"
FMJDX,"Strategic Advisers® International Multi-Manager Fund"
FMKAX,"Fidelity Advisor® Emerging Markets Income Fund Class A"
FMKCX,"Fidelity Advisor® Emerging Markets Income Fund Class C"
FMKIX,"Fidelity Advisor® Emerging Markets Income Fund Class I"
FMLSX,N/A
FMLTX,"Franklin LifeSmart™ 2045 Retirement Target Fund Class R6"
FMMLX,N/A
FMMRX,"Nuveen Missouri Municipal Bond Fund Class I"
FMNBX,"Federated Muni and Stock Advantage Fund Class B Shares"
FMNCX,"Federated Municipal High Yield Advantage Fund Class C Shares"
FMNDX,"Fidelity® Conservative Income Municipal Bond Fund Institutional Class"
FMNEX,"Free Market International Equity Fund Institutional Class"
FMNIX,"Franklin Minnesota Tax-Free Income Fund Class C"
FMNZX,"Franklin Minnesota Tax-Free Income Fund Advisor Class"
FMOAX,"Federated Municipal High Yield Advantage Fund Class A Shares"
FMOBX,"Federated Municipal High Yield Advantage Fund Class B Shares"
FMOCX,"Nuveen Missouri Municipal Bond Fund Class C2"
FMOIX,"Franklin Missouri Tax Free Income Fund Class C"
FMOQX,"Franklin Missouri Tax Free Income Fund Class R6"
FMOTX,"Nuveen Missouri Municipal Bond Fund Class A"
FMPAX,"Fidelity Advisor® Mid Cap Value Fund Class A"
FMPCX,"Nuveen Small Cap Growth Opportunities Fund Class C"
FMPEX,"Fidelity Advisor® Mid Cap Value Fund Class C"
FMPFX,"Nuveen Small Cap Growth Opportunities Fund Class R6"
FMPOX,"Fidelity Advisor® Mid Cap Value Fund Class I"
FMPSX,"Frontier MFG Global Plus Fund Service Class"
FMPTX,"Fidelity Advisor® Mid Cap Value Fund Class M"
FMPYX,"Nuveen Small Cap Growth Opportunities Fund Class R3"
FMQRX,"Franklin Mutual Quest Fund Class R6"
FMQSX,"Franklin Mutual Quest Fund Class R"
FMRCX,"Federated Absolute Return Fund Class C Shares"
FMRMX,"Fidelity Advisor® Event Driven Opportunities Fund I Class"
FMSAX,"Fidelity Advisor® Mortgage Securities Fund Class M"
FMSCX,"Fidelity Advisor® Mortgage Securities Fund Class I"
FMSFX,"Fidelity® Mortgage Securities Fund"
FMSHX,"Franklin Mutual Shares Fund Class R6"
FMSLX,N/A
FMSTX,"Federated MDT Large Cap Value Fund Institutional Shares"
FMTAX,"Federated Short-Intermediate Duration Municipal Trust Class A Shares"
FMTFX,"Franklin Michigan Tax-Free Income Fund Class Adv"
FMTIX,"Franklin Moderate Allocation Fund Class A"
FMTLX,"Franklin LifeSmart™ 2035 Retirement Target Fund Class R6"
FMTNX,"First Investors Tax Exempt North Carolina Fund Class A"
FMTQX,"First Investors Tax Exempt North Carolina Fund Class B"
FMTTX,"First Investors Tax Exempt North Carolina Fund Advisor Class"
FMTUX,"First Investors Tax Exempt North Carolina Fund Institutional Class"
FMTZX,"Franklin Moderate Allocation Fund Advisor Class"
FMUAX,"Federated Muni and Stock Advantage Fund Class A Shares"
FMUCX,"Federated Muni and Stock Advantage Fund Class C Shares"
FMUEX,"RBB Free Market U.S. Equity Fund Institutional Class"
FMUFX,"Federated Muni and Stock Advantage Fund Class F Shares"
FMUIX,"Federated Muni and Stock Advantage Fund Institutional Shares"
FMURX,"Franklin Mutual European Fund Class R"
FMUSX,"Federated Municipal Ultrashort Fund Institutional Shares"
FMUUX,"Federated Municipal Ultrashort Fund Class A Shares"
FMVSX,"Nuveen Mid Cap Value Fund Class R3"
FMXKX,"Federated Max-Cap Index Fund Class R Shares"
FMXSX,"Federated Max-Cap Index Fund Service Shares"
FMYIX,"Federated Municipal High Yield Advantage Fund Class Institutional"
FNAMX,N/A
FNAPX,"Strategic Advisers® Small-Mid Cap Multi-Manager Fund"
FNARX,"Fidelity® Select Natural Resources Portfolio"
FNBCX,"Fidelity Advisor® Limited Term Bond Fund Class C"
FNBGX,"Fidelity® Long-Term Treasury Bond Index Fund"
FNCAX,"Franklin NextStep Conservative Fund Class A"
FNCCX,"Nuveen New Mexico Municipal Bond Fund Class C"
FNCDX,"Franklin NextStep Conservative Fund Class C"
FNCFX,"Franklin Income Fund Class R6"
FNCIX,"Franklin North Carolina Tax-Free Income Fund Class C"
FNCMX,"Fidelity® NASDAQ Composite Index® Fund"
FNCQX,"Franklin North Carolina Tax-Free Income Fund Class R6"
FNCRX,"Franklin Natural Resources Fund Class C"
FNCSX,"Franklin Natural Resources Fund Class R6"
FNCVX,"Franklin NextStep Conservative Fund Advisor Class"
FNCZX,"Franklin North Carolina Tax-Free Income Fund Advisor Class"
FNEFX,"American Funds The New Economy Fund® Class F-3"
FNGAX,"Franklin International Growth Fund Class A"
FNGBX,"Franklin NextStep Growth Fund Class A"
FNGCX,"Franklin NextStep Growth Fund Class C"
FNGDX,"Franklin International Growth Fund Class C"
FNGLX,"Fidelity Advisor Freedom® 2060 Fund Class Z6"
FNGVX,"Franklin NextStep Growth Fund Advisor Class"
FNGZX,"Franklin International Growth Fund Class Adv"
FNHSX,N/A
FNIAX,"Fidelity Advisor® New Insights Fund Class A"
FNICX,"Fidelity Advisor® New Insights Fund Class C"
FNIDX,"Fidelity® International Sustainability Index Fd"
FNIHX,"American Independence U.S. Inflation-Protected Fund Class A"
FNIIX,"Franklin New Jersey Tax Free Income Fund Class C"
FNIRX,N/A
FNITX,"Fidelity Advisor® New Insights Fund Class M"
FNIYX,N/A
FNJHX,"Fidelity® New Jersey Municipal Income Fund"
FNJRX,"Franklin New Jersey Tax Free Income Fund Class R6"
FNJZX,"Franklin New Jersey Tax Free Income Fund Advisor Class"
FNKCX,"Frank Value Fund Class C"
FNKIX,"Frank Value Fund Institutional Class"
FNKLX,"Fidelity® Series Value Discovery Fund"
FNMAX,"Fidelity Advisor® New York Municipal Income Fund Class A"
FNMCX,"Nuveen New Mexico Municipal Bond Fund Class C2"
FNMDX,"Franklin NextStep Moderate Fund Class A"
FNMFX,"Franklin NextStep Moderate Fund Class C"
FNMIX,"Fidelity® New Markets Income Fund"
FNMRX,"Nuveen New Mexico Municipal Bond Fund Class I"
FNMTX,"Nuveen New Mexico Municipal Bond Fund Class A"
FNMZX,"Franklin NextStep Moderate Fund Advisor Class"
FNORX,"Fidelity® Nordic Fund"
FNPFX,"American Funds New Perspective Fund® Class F-3"
FNPIX,"ProFunds Financials UltraSector Fund Investor Class"
FNPSX,"ProFunds Financials UltraSector Fund Service Class"
FNRAX,"Franklin Natural Resources Fund Advisor Class"
FNRCX,"Fidelity Advisor® Energy Fund Class C"
FNSBX,"Fidelity Freedom® 2050 Fund Class K"
FNSDX,"Fidelity Freedom® 2055 Fund Class K"
FNSFX,"Fidelity Freedom® 2060 Fund Class K"
FNSHX,"Fidelity Freedom® Income Fund Class K"
FNSJX,N/A
FNSKX,N/A
FNSLX,N/A
FNSOX,"Fidelity® Short-Term Bond Index Fund"
FNTAX,"Nuveen Nebraska Municipal Bond Fund Class A"
FNTCX,"Nuveen Nebraska Municipal Bond Fund Class C1"
FNTYX,"Nuveen Nebraska Municipal Bond Fund Class I"
FNWFX,"American Funds New World Fund® Class F-3"
FNYAX,"Franklin New York Tax Free Income Fund Advisor Class"
FNYCX,"Fidelity Advisor® New York Municipal Income Fund Class C"
FNYFX,"Delaware Tax-Free New York II Fund Class A"
FNYGX,"First Investors Tax Exempt New York Fund Class B"
FNYHX,"Delaware Tax-Free New York II Fund Institutional Class"
FNYIX,"Franklin New York Tax Free Income Fund Class C"
FNYJX,"Delaware Tax-Free New York II Fund Class R6"
FNYPX,"Fidelity Advisor® New York Municipal Income Fund Class M"
FNYTX,"Franklin New York Tax Free Income Fund Class A1"
FNYZX,"Franklin New York Intermediate Tax-Free Income Fund Advisor Class"
FOBAX,"Tributary Balanced Fund Institutional Class"
FOBPX,"Tributary Balanced Fund Class Institutional Plus"
FOCAX,"AIG Focused Growth Fund Class A"
FOCCX,"AIG Focused Growth Fund Class C"
FOCFX,"Fidelity® Municipal Income 2021 Fund"
FOCIX,"Fairholme Focused Income Fund"
FOCKX,"Fidelity® OTC Portfolio Class K"
FOCPX,"Fidelity® OTC Portfolio"
FOCSX,"Fidelity® Small Cap Growth K6 Fund"
FOCWX,"AIG Focused Growth Fund Class W"
FOFRX,"Franklin Oregon Tax Free Income Fund Class R6"
FOFZX,"Franklin Oregon Tax Free Income Fund Advisor Class"
FOGIX,"MFAM Mid Cap Growth Fund Institutional Shares"
FOGLX,"Fidelity Advisor Freedom® 2020 Fund Class Z6"
FOGPX,"Tributary Growth Opportunities Fund Class Institutional Plus"
FOGRX,"Tributary Growth Opportunities Fund Institutional Class"
FOHCX,"Nuveen Ohio Municipal Bond Fund Class C2"
FOHFX,"Fidelity® Ohio Municipal Income Fund"
FOHIX,N/A
FOHTX,"Nuveen Ohio Municipal Bond Fund Class A"
FOIIX,"MFAM Global Opportunities Fund Institutional Shares"
FOINX,"Tributary Income Fund Institutional Class"
FOIPX,"Tributary Income Fund Class Institutional Plus"
FOITX,"Franklin Ohio Tax-Free Income Fund Class C"
FOLSX,"Fidelity Flex Freedom 2045 Fund"
FOMAX,"Fidelity Advisor® Municipal Income 2021 Fund Class A"
FOMCX,"Fidelity Advisor® Mortgage Securities Fund Class C"
FOMIX,"Fidelity Advisor® Municipal Income 2021 Fund I Class"
FONPX,"Tributary Nebraska Tax-Free Fund Institutional Plus Class"
FOOLX,"MFAM Global Opportunities Fund Investor Shares"
FOPAX,"Fidelity Advisor® International Small Cap Opportunities Fund Class A"
FOPCX,"Fidelity Advisor® International Small Cap Opportunities Fund Class C"
FOPIX,"Fidelity Advisor® International Small Cap Opportunities Fund I Class"
FOPPX,"Franklin Growth Opportunities Fund Class R6"
FOPTX,"Fidelity Advisor® International Small Cap Opportunities Fund Class M"
FORCX,"Nuveen Oregon Intermediate Municipal Bond Fund Class I"
FORIX,"Franklin Oregon Tax Free Income Fund Class C"
FOSBX,"Tributary Small Company Fund Institutional Plus Class"
FOSCX,"Tributary Small Company Fund Institutional Class"
FOSFX,"Fidelity® Overseas Fund"
FOSIX,"Tributary Short-Intermediate Bond Fund Institutional Class"
FOSKX,"Fidelity® Overseas Fund Class K"
FOSPX,"Tributary Short/Intermediate Bond Fund Class Institutional Plus"
FOTAX,"Nuveen Oregon Intermediate Municipal Bond Fund Class A"
FOTKX,"Fidelity Freedom® 2010 Fund Class K6"
FOVAX,"First Trust/Confluence Small Cap Value Fund Class A"
FOVCX,"First Trust/Confluence Small Cap Value Fund Class C"
FOVIX,"First Trust/Confluence Small Cap Value Fund Class I"
FPACX,"FPA Crescent Fund"
FPADX,"Fidelity® Emerging Markets Index Fund"
FPBFX,"Fidelity® Pacific Basin Fund"
FPCCX,"Nuveen Pennsylvania Municipal Bond Fund Class C"
FPCFX,"Nuveen Core Plus Bond Fund Class R6"
FPCGX,"Fort Pitt Capital Total Return Fund"
FPCIX,"Strategic Advisers® Core Income Fund"
FPEAX,"First Trust Preferred Securities and Income Fund Class A"
FPECX,"First Trust Preferred Securities and Income Fund Class C"
FPEFX,"First Trust Preferred Securities and Income Fund Class F"
FPEIX,"First Trust Preferred Securities and Income Fund Class I"
FPELX,"Franklin Pelagos Commodities Strategy Fund Class R6"
FPEMX,N/A
FPERX,"First Trust Preferred Securities and Income Fund Class R3"
FPFZX,"Franklin Pennsylvania Tax-Free Income Fund Advisor Class"
FPGLX,"Fidelity Advisor Freedom® 2025 Fund Class Z6"
FPHAX,"Fidelity® Select Pharmaceuticals Portfolio"
FPIFX,"Fidelity Freedom® Index 2020 Fund Investor Class"
FPIOX,"Strategic Advisers® Income Opportunities Fund"
FPIVX,"FPA International Value Fund"
FPJAX,"Fidelity Advisor® Japan Fund Class A"
FPMAX,N/A
FPMBX,"Nuveen Pennsylvania Municipal Bond Fund Class C2"
FPMIX,N/A
FPNIX,"FPA New Income Fund"
FPNSX,N/A
FPNTX,"Nuveen Pennsylvania Municipal Bond Fund Class A"
FPODX,"Franklin Payout 2018 Fund Advisor Class"
FPOEX,"Franklin Payout 2019 Fund Class R6"
FPOFX,"Franklin Payout 2019 Fund Advisor Class"
FPOGX,"Franklin Payout 2020 Fund Class R6"
FPOHX,"Franklin Payout 2020 Fund Advisor Class"
FPOJX,"Franklin Payout 2021 Fund Advisor Class"
FPOLX,"Franklin Payout 2018 Fund Class R6"
FPOMX,"Franklin Payout 2021 Fund Class R6"
FPPFX,"FPA U.S. Value Fund"
FPPTX,"FPA Capital Fund"
FPRAX,"FPA Paramount Fund"
FPREX,N/A
FPSVX,"Frontier Phocas Small Cap Value Fund Institutional Class"
FPTKX,"Fidelity Freedom® 2015 Fund Class K6"
FPUKX,"Fidelity® Puritan® Fund Class K"
FPURX,"Fidelity® Puritan® Fund"
FPVSX,"Frontier Phocas Small Cap Value Fund Service Class"
FPXTX,"Fidelity® Pennsylvania Municipal Income Fund"
FQAAX,"Strategic Advisers® Emerging Markets Fund of Funds Class L"
FQABX,"Strategic Advisers® Emerging Markets Fund of Funds Class N"
FQACX,"Strategic Advisers® Growth Multi-Manager Fund Class L"
FQAEX,"Strategic Advisers® Growth Multi-Manager Fund Class N"
FQAFX,"Strategic Advisers® Income Opportunities Fund of Funds Class L"
FQAGX,"Strategic Advisers® Income Opportunities Fund of Funds Class N"
FQAHX,"Strategic Advisers® International Multi-Manager Fund Class L"
FQAIX,"Strategic Advisers® International Multi-Manager Fund Class N"
FQAJX,"Strategic Advisers® Small-Mid Cap Multi-Manager Fund Class L"
FQAKX,"Strategic Advisers® Small-Mid Cap Multi-Manager Fund Class N"
FQALX,"Strategic Advisers® Value Multi-Manager Fund Class L"
FQAMX,"Strategic Advisers® Value Multi-Manager Fund Class N"
FQANX,"Strategic Advisers® Core Income Multi-Manager Fund Class L"
FQAOX,"Strategic Advisers® Core Income Multi-Manager Fund Class N"
FQAPX,"Strategic Advisers® Core Multi-Manager Fund Class L"
FQAQX,"Strategic Advisers® Core Multi-Manager Fund Class N"
FQIFX,"Fidelity Freedom® Index 2025 Fund Investor Class"
FQLSX,"Fidelity Flex Freedom 2055 Fund"
FQUAX,"AMG FQ Long-Short Equity Fund Class N"
FRAAX,"Franklin Growth Opportunities Fund Advisor Class"
FRACX,"Touchstone Flexible Income Fund Class C"
FRALX,"Franklin Alabama Tax Free Income Fund Class A1"
FRAMX,"Fidelity Advisor Managed Retirement Income Fund Class A"
FRAPX,"Fidelity Advisor Simplicity RMD 2005 Fund Class I"
FRASX,"Fidelity Advisor Managed Retirement 2015 Fund Class I"
FRBAX,"John Hancock Regional Bank Fund Class A"
FRBCX,"John Hancock Regional Bank Fund Class C"
FRBFX,"John Hancock Regional Bank Fund Class B"
FRBRX,"Franklin Biotechnology Discovery Fund Class R6"
FRBSX,"Franklin Mutual U.S. Value Fund Class A"
FRCCX,"Delaware Covered Call Strategy Fund Class A"
FRCDX,"Delaware Covered Call Strategy Fund Institutional Class"
FRCEX,"Delaware Covered Call Strategy Fund Class R6"
FRCMX,"Fidelity Advisor Managed Retirement Income Fund Class C"
FRCOX,"Franklin Colorado Tax Free Income Fund Class A1"
FRCSX,"Franklin Small Cap Value Fund Class R6"
FRCTX,"Franklin California Tax Free Income Fund Class C"
FRCZX,"Franklin California Intermediate-Term Tax-Free Income Fund Advisor Class"
FRDAX,"Franklin Rising Dividends Fund Advisor Class"
FRDPX,"Franklin Rising Dividends Fund Class A"
FRDRX,"Franklin Rising Dividends Fund Class R"
FRDTX,"Franklin Rising Dividends Fund Class C"
FREAX,"Nuveen Real Estate Securities Fund Class A"
FREEX,"Franklin Real Estate Securities Fund Class A"
FREGX,"Nuveen Real Estate Securities Fund Class R6"
FREIX,"Franklin Equity Income Fund Class R"
FRELX,"Franklin LifeSmart™ 2025 Retirement Target Fund Class R"
FRERX,"Franklin Total Return Fund Class R6"
FRESX,"Fidelity® Real Estate Investment Portfolio"
FRETX,"Franklin Equity Income Fund Class C"
FRFAX,"PGIM Floating Rate Income Fund- Class A"
FRFCX,"PGIM Floating Rate Income Fund- Class C"
FRFDX,"Delaware Floating Rate II Fund Class A"
FRFEX,"Delaware Floating Rate II Fund Institutional Class"
FRFIX,"Franklin Florida Tax Free Income Fund Class C"
FRFLX,"Franklin Florida Tax Free Income Fund Class A1"
FRFNX,"Delaware Floating Rate II Fund Class R6"
FRFQX,"Franklin Florida Tax Free Income Fund Class R6"
FRFTX,"Franklin Federal Tax Free Income Fund Class C"
FRFZX,"PGIM Floating Rate Income Fund- Class Z"
FRGOX,"Franklin Gold and Precious Metals Fund Class C"
